index,OPEN,HIGH,LOW,FINAL,VOLUME
2024-08-30 05:00:00,2624.0,2624.0,2624.0,2624.0,0.0
2024-09-03 05:00:00,2541.5,2541.5,2541.5,2541.5,0.0
2024-09-04 05:00:00,2548.0,2548.0,2548.0,2548.0,0.0
2024-09-05 05:00:00,2453.0,2453.0,2453.0,2453.0,0.0
2024-09-06 05:00:00,2310.5,2310.5,2310.5,2310.5,0.0
2024-09-09 05:00:00,2440.0,2440.0,2440.0,2440.0,0.0
2024-09-10 05:00:00,2472.0,2472.0,2472.0,2472.0,0.0
2024-09-11 05:00:00,2431.0,2431.0,2431.0,2431.0,0.0
2024-09-12 05:00:00,2448.5,2448.5,2448.5,2448.5,0.0
2024-09-13 05:00:00,2509.0,2509.0,2509.0,2509.0,0.0
2024-09-16 05:00:00,2356.0,2356.0,2356.0,2356.0,0.0
2024-09-17 05:00:00,2438.0,2438.0,2438.0,2438.0,0.0
2024-09-18 05:00:00,2398.0,2398.0,2398.0,2398.0,0.0
2024-09-19 05:00:00,2550.5,2550.5,2550.5,2550.5,0.0
2024-09-20 05:00:00,2630.5,2630.5,2630.5,2630.5,0.0
2024-09-23 05:00:00,2765.0,2765.0,2765.0,2765.0,0.0
2024-09-24 05:00:00,2744.0,2744.0,2744.0,2744.0,0.0
2024-09-25 05:00:00,2657.5,2657.5,2657.5,2657.5,0.0
2024-09-26 05:00:00,2747.0,2747.0,2747.0,2747.0,0.0
2024-09-27 05:00:00,2795.0,2795.0,2795.0,2795.0,0.0
2024-09-30 05:00:00,2681.5,2681.5,2681.5,2681.5,0.0
2024-10-01 05:00:00,2568.5,2568.5,2568.5,2568.5,0.0
2024-10-02 05:00:00,2451.5,2451.5,2451.5,2451.5,0.0
2024-10-03 05:00:00,2429.5,2429.5,2429.5,2429.5,0.0
2024-10-04 05:00:00,2508.5,2508.5,2508.5,2508.5,0.0
2024-10-07 05:00:00,2522.0,2522.0,2522.0,2522.0,0.0
2024-10-08 05:00:00,2517.5,2517.5,2517.5,2517.5,0.0
2024-10-09 05:00:00,2496.0,2496.0,2496.0,2496.0,0.0
2024-10-10 05:00:00,2442.5,2442.5,2442.5,2442.5,0.0
2024-10-11 05:00:00,2537.0,2537.0,2537.0,2537.0,0.0
2024-10-14 05:00:00,2708.0,2708.0,2708.0,2708.0,0.0
2024-10-15 05:00:00,2675.0,2675.0,2675.0,2675.0,0.0
2024-10-16 05:00:00,2700.0,2700.0,2700.0,2700.0,0.0
2024-10-17 05:00:00,2677.5,2677.5,2677.5,2677.5,0.0
2024-10-18 05:00:00,2738.0,2738.0,2738.0,2738.0,0.0
