index,OPEN,HIGH,LOW,FINAL,VOLUME
2024-10-21 05:00:00,2768.0,2768.0,2768.0,2768.0,0.0
2024-10-22 05:00:00,2714.5,2714.5,2714.5,2714.5,0.0
2024-10-23 05:00:00,2590.5,2590.5,2590.5,2590.5,0.0
2024-10-24 05:00:00,2616.0,2616.0,2616.0,2616.0,0.0
2024-10-25 05:00:00,2550.5,2550.5,2550.5,2550.5,0.0
2024-10-28 05:00:00,2582.0,2582.0,2582.0,2582.0,0.0
2024-10-29 05:00:00,2717.5,2717.5,2717.5,2717.5,0.0
2024-10-30 05:00:00,2741.5,2741.5,2741.5,2741.5,0.0
2024-10-31 05:00:00,2589.5,2589.5,2589.5,2589.5,0.0
2024-11-01 05:00:00,2591.5,2640.0,2591.5,2591.5,0.0
2024-11-04 06:00:00,2492.5,2492.5,2492.5,2492.5,0.0
2024-11-05 06:00:00,2498.0,2498.0,2498.0,2498.0,0.0
2024-11-06 06:00:00,2781.0,2781.0,2781.0,2781.0,0.0
2024-11-07 06:00:00,3003.5,3003.5,3003.5,3003.5,0.0
2024-11-08 06:00:00,3039.5,3039.5,3039.5,3039.5,0.0
2024-11-11 06:00:00,3472.0,3472.0,3472.0,3472.0,0.0
2024-11-12 06:00:00,3397.0,3397.0,3397.0,3397.0,0.0
2024-11-13 06:00:00,3277.5,3277.5,3277.5,3277.5,0.0
2024-11-14 06:00:00,3201.0,3201.0,3201.0,3201.0,0.0
2024-11-15 06:00:00,3192.5,3192.5,3192.5,3192.5,0.0
2024-11-18 06:00:00,3264.5,3264.5,3264.5,3264.5,0.0
2024-11-19 06:00:00,3204.0,3204.0,3204.0,3204.0,0.0
2024-11-20 06:00:00,3174.0,3215.0,3174.0,3174.0,0.0
2024-11-21 06:00:00,3481.0,3481.0,3481.0,3481.0,0.0
2024-11-22 06:00:00,3417.5,3493.0,3417.5,3417.5,0.0
2024-11-25 06:00:00,3618.5,3618.5,3618.5,3618.5,0.0
2024-11-26 06:00:00,3429.0,3429.0,3429.0,3429.0,0.0
2024-11-27 06:00:00,3761.0,3761.0,3761.0,3761.0,0.0
2024-11-29 06:00:00,3716.5,3716.5,3716.5,3716.5,0.0
2024-12-02 06:00:00,3756.0,3756.0,3756.0,3756.0,0.0
2024-12-03 06:00:00,3700.0,3737.0,3653.0,3737.0,17.0
2024-12-04 06:00:00,4051.0,4051.0,4051.0,4051.0,0.0
2024-12-05 06:00:00,3950.0,3979.5,3950.0,3979.5,10.0
2024-12-06 06:00:00,4160.0,4243.0,4160.0,4228.0,15.0
2024-12-09 06:00:00,4050.0,4050.0,3810.0,3880.0,50.0
2024-12-10 06:00:00,3800.0,3800.0,3785.0,3785.0,1.0
2024-12-11 06:00:00,3750.0,3982.5,3700.0,3982.5,16.0
2024-12-12 06:00:00,4022.0,4030.0,4018.0,4018.0,11.0
2024-12-13 06:00:00,4067.5,4067.5,4067.5,4067.5,0.0
2024-12-16 06:00:00,4206.0,4206.0,4206.0,4206.0,0.0
2024-12-17 06:00:00,4102.5,4102.5,4084.0,4084.0,25.0
2024-12-18 06:00:00,4010.0,4010.0,3802.5,3802.5,69.0
2024-12-19 06:00:00,3780.0,3780.0,3469.5,3469.5,300.0
2024-12-20 06:00:00,3515.0,3628.0,3250.0,3533.5,108.0
2024-12-23 06:00:00,3486.5,3486.5,3427.0,3486.5,0.0
2024-12-24 06:00:00,3562.0,3617.0,3562.0,3605.5,20.0
2024-12-26 06:00:00,3403.0,3403.5,3393.5,3393.5,60.0
2024-12-27 06:00:00,3412.0,3473.0,3369.5,3398.5,219.0
2024-12-30 06:00:00,3466.5,3489.0,3358.5,3466.0,4359.0
2024-12-31 06:00:00,3391.0,3516.5,3383.0,3416.0,2102.0
2025-01-02 06:00:00,3406.5,3572.0,3406.5,3529.0,3339.0
2025-01-03 06:00:00,3599.5,3709.0,3496.0,3682.5,575.0
2025-01-06 06:00:00,3720.0,3823.0,3692.0,3759.0,3917.0
2025-01-07 06:00:00,3744.0,3772.5,3408.0,3434.5,9431.0
2025-01-08 06:00:00,3433.0,3456.5,3255.0,3324.0,2365.0
2025-01-09 06:00:00,3385.5,3395.0,3199.5,3227.5,1434.0
2025-01-10 06:00:00,3275.0,3370.5,3239.0,3304.5,1250.0
2025-01-10 23:00:00,3281.0,3365.0,3240.0,3304.5,768.0
2025-01-13 23:00:00,3073.5,3149.0,2950.0,3120.0,1568.0
2025-01-14 23:00:00,3261.0,3272.0,3222.0,3251.5,105.0
2025-01-15 23:00:00,3345.0,3524.0,3327.0,3479.0,2974.0
2025-01-16 23:00:00,3374.5,3401.0,3300.0,3360.5,2623.0
2025-01-17 23:00:00,3469.0,3577.5,3458.0,3566.0,2237.0
