,portfolio,portfolio.curve,portfolio.percent.curve,capital
2023-12-27,0.0,0.0,0.0,1000000.0
2023-12-28,0.0,0.0,0.0,1000000.0
2023-12-29,0.0,0.0,0.0,1000000.0
2024-01-01,0.0,0.0,0.0,1000000.0
2024-01-02,0.0,0.0,0.0,1000000.0
2024-01-03,0.0,0.0,0.0,1000000.0
2024-01-04,0.0,0.0,0.0,1000000.0
2024-01-05,0.0,0.0,0.0,1000000.0
2024-01-08,0.0,0.0,0.0,1000000.0
2024-01-09,0.0,0.0,0.0,1000000.0
2024-01-10,0.0,0.0,0.0,1000000.0
2024-01-11,0.0,0.0,0.0,1000000.0
2024-01-12,0.0,0.0,0.0,1000000.0
2024-01-15,0.0,0.0,0.0,1000000.0
2024-01-16,0.0,0.0,0.0,1000000.0
2024-01-17,0.0,0.0,0.0,1000000.0
2024-01-18,-15.81,-15.81,-0.001581,1000000.0
2024-01-19,-45.81000000000114,-61.62000000000114,-0.006162000000000114,1000000.0
2024-01-22,264.19000000000113,202.57,0.020256999999999997,1000000.0
2024-01-23,148.38000000000682,350.9500000000068,0.03509500000000068,1000000.0
2024-01-24,-415.8099999999915,-64.85999999998467,-0.006485999999998465,1000000.0
2024-01-25,584.189999999966,519.3299999999813,0.051932999999998126,1000000.0
2024-01-26,-645.809999999974,-126.47999999999274,-0.012647999999999278,1000000.0
2024-01-29,-335.8099999999932,-462.2899999999859,-0.04622899999999859,1000000.0
2024-01-30,-1619.9999999999975,-2082.2899999999836,-0.20822899999999833,1000000.0
2024-01-31,719.9999999999847,-1362.289999999999,-0.13622899999999988,1000000.0
2024-02-01,-89.9999999999821,-1452.289999999981,-0.14522899999999808,1000000.0
2024-02-02,-1890.0000000000077,-3342.289999999989,-0.3342289999999989,1000000.0
2024-02-05,4679.9999999999645,1337.7099999999755,0.1337709999999976,1000000.0
2024-02-06,-899.9999999999488,437.71000000002664,0.04377100000000271,1000000.0
2024-02-07,-900.0000000000127,-462.2899999999861,-0.04622899999999858,1000000.0
2024-02-08,2159.999999999954,1697.709999999968,0.1697709999999968,1000000.0
2024-02-09,900.0000000000127,2597.709999999981,0.2597709999999981,1000000.0
2024-02-12,0.0,2597.709999999981,0.2597709999999981,1000000.0
2024-02-13,-1349.9999999999873,1247.7099999999937,0.12477099999999935,1000000.0
2024-02-14,3510.000000000005,4757.709999999999,0.4757709999999999,1000000.0
2024-02-15,211.5838888888991,4969.293888888898,0.4969293888888898,1000000.0
2024-02-16,-989.9999999999949,3979.2938888889034,0.39792938888889035,1000000.0
2024-02-19,-195.81000000002814,3783.4838888888753,0.37834838888888755,1000000.0
2024-02-20,684.1900000000029,4467.6738888888785,0.44676738888888784,1000000.0
2024-02-21,-2215.809999999953,2251.8638888889254,0.22518638888889253,1000000.0
2024-02-22,-480.00000000007503,1771.8638888888504,0.17718638888888502,1000000.0
2024-02-23,3240.0000000000373,5011.863888888887,0.5011863888888888,1000000.0
2024-02-26,0.0,5011.863888888887,0.5011863888888888,1000000.0
2024-02-27,-3360.0000000000136,1651.8638888888736,0.16518638888888743,1000000.0
2024-02-28,2760.0000000000477,4411.863888888922,0.4411863888888922,1000000.0
2024-02-29,-1560.0000000000307,2851.863888888891,0.28518638888888914,1000000.0
2024-03-01,360.00000000001364,3211.8638888889045,0.3211863888888905,1000000.0
2024-03-04,-1335.8099999999931,1876.0538888889114,0.18760538888889117,1000000.0
