index,top_pos,bot_pos
2023-12-27,,
2023-12-28,,
2023-12-29,,
2024-01-01,,
2024-01-02,,
2024-01-03,,
2024-01-04,,
2024-01-05,,
2024-01-08,,
2024-01-09,,
2024-01-10,,
2024-01-11,,
2024-01-12,,
2024-01-15,10.662928748056128,-0.39189271771771317
2024-01-16,9.183100518119852,-0.19412467967954683
2024-01-17,10.713534559117244,0.927724021398701
2024-01-18,12.373920783494828,2.1703088354294238
2024-01-19,13.509815519242967,3.102669971034377
2024-01-22,15.354164204581714,4.544030382752766
2024-01-23,17.40679854859661,6.171273904926275
2024-01-24,17.98798717173386,6.782235334875888
2024-01-25,19.969720674786817,8.358014611599419
2024-01-26,20.2944626834103,8.730391650760534
2024-01-29,21.235613564309972,9.451569616465111
2024-01-30,19.547577383084892,8.217505977517211
2024-01-31,20.442271272474407,8.788179134488418
2024-02-01,21.283713943941837,9.311246757972203
2024-02-02,18.966645615983218,7.521218152884036
2024-02-05,14.18288656593386,4.790436320297421
2024-02-06,14.673545885814631,5.204203919077139
2024-02-07,14.974349570326172,5.407149843713005
2024-02-08,15.355985393182351,5.84221679342111
2024-02-09,16.645954480883553,6.91472017679955
2024-02-12,17.931970603561695,7.978463052066778
2024-02-13,17.97485820482322,8.070914957479765
2024-02-14,17.07627779440762,7.774581338905411
2024-02-15,18.701215506888726,9.183262066485227
2024-02-16,19.455719264472563,9.889430849013594
2024-02-19,20.651277674275903,10.887877921247181
2024-02-20,22.10114965022846,12.114155569777768
2024-02-21,21.417123282260313,11.61465674300657
2024-02-22,22.08637110702593,12.089189574678127
2024-02-23,21.874008673892867,12.071666972419907
2024-02-26,21.853429670678498,12.056281933476523
2024-02-27,21.658068076687396,11.865784669163485
2024-02-28,21.991553424171983,12.221532105783593
2024-02-29,22.012723564068217,12.239054619273867
2024-03-01,23.049438271358014,13.034351967751107
2024-03-04,23.060453656637943,12.973524866102377
2024-03-05,23.824480448364024,13.493322859472112
2024-03-06,22.912251254989965,12.629506989386282
2024-03-07,22.7270924909081,12.262355156780238
2024-03-08,21.62652748315851,11.112426495308654
2024-03-11,20.96339187286667,10.236775321717122
2024-03-12,20.023264186979937,9.35382983467558
2024-03-13,19.95467581646118,9.247062986959683
2024-03-14,19.90092325557928,9.056585578105455
2024-03-15,20.074625859104025,9.192574037335797
2024-03-18,20.65518316699424,9.797456705989926
2024-03-19,22.26367731546465,11.17756985485467
2024-03-20,24.12617321063452,12.826402045056597
2024-03-21,25.701720502614613,14.215863470170696
2024-03-22,25.199218791364196,14.298220480275964
2024-03-25,27.82695248723392,16.70202359963383
2024-03-26,28.78691438932616,17.691939877171297
2024-03-27,30.860708080307468,19.65073149775303
2024-03-28,33.73358028018287,22.30384702320876
2024-03-29,35.03386588776559,23.587238771133972
2024-04-01,37.65474852289509,25.96417753039181
2024-04-02,38.84509990773404,27.278277684833117
2024-04-03,42.41309657178497,30.602653091933185
2024-04-04,45.91132350738597,33.86993012781413
2024-04-05,48.64499021859065,36.44626876786556
2024-04-08,48.74287817941277,36.531068644263456
2024-04-09,49.08749627806142,36.862994165549935
2024-04-10,51.45166106702076,38.952221131607494
2024-04-11,49.216399978240986,37.19586071223206
2024-04-12,49.290694256122514,37.26049585254686
2024-04-15,49.36290424112187,37.323324626854884
2024-04-16,49.433116354446156,37.384421633852654
2024-04-17,52.269493253093785,40.21193836919741
2024-04-18,57.27671202433099,44.9189394442235
2024-04-19,62.802547969698715,50.13734200553554
2024-04-22,68.73008490234011,55.770451080286506
2024-04-23,75.40008500409316,62.107765666556745
2024-04-24,78.77474264120741,65.40177592397535
2024-04-25,84.68390037672235,70.99842671336565
2024-04-26,88.21974705466585,74.38370997532661
2024-04-29,93.97447759387593,79.83972155518076
2024-04-30,100.24251098964095,85.77886248271486
2024-05-01,100.56222722450909,86.0746692189328
2024-05-02,101.87634123579565,87.36540302647362
2024-05-03,95.19922358859934,81.16897245317212
2024-05-06,95.437734420082,81.38924674858114
2024-05-07,95.99778470713315,81.93145969485292
2024-05-08,101.05025053397816,86.66184770418076
2024-05-09,106.43126363784235,91.68956363998502
2024-05-10,85.77837688853923,72.49564973704183
2024-05-13,86.96217587994812,73.53833431642883
2024-05-14,84.5856416415764,71.23781228772121
2024-05-15,77.55654284046499,64.59128648170578
2024-05-16,56.23516637523644,44.93001136906744
2024-05-17,54.32388878389797,42.92665804698224
2024-05-20,50.88220066231938,39.48808577886956
2024-05-21,43.258416251036564,32.59513248974086
2024-05-22,43.22792819627736,32.56864959690739
2024-05-23,42.5187747441407,31.86341314115532
2024-05-24,42.52883586098928,31.872539214599435
2024-05-27,43.99191930105257,33.093895029988154
2024-05-28,45.88524607242861,34.69867773309394
2024-05-29,47.02772317154471,35.71873846645654
2024-05-30,49.479744755366774,37.911705952761544
2024-05-31,51.87249139839659,40.03133161986996
2024-06-03,51.88471573748613,40.04207635006577
2024-06-04,51.094975752578904,39.250885424103785
2024-06-05,52.598840589798,40.53072995270365
2024-06-06,48.92244843636177,37.14305522023313
2024-06-07,50.12851371813375,38.04134834017665
2024-06-10,42.16476658659417,31.215447251651955
2024-06-11,43.25486717432876,32.158471444306905
2024-06-12,44.57648534012115,33.25884822519599
2024-06-13,46.186320520277164,34.59320181047424
2024-06-14,47.69790804503694,35.89908350907703
2024-06-17,49.85387175547187,37.80743275576522
2024-06-18,52.45967011416464,40.125574491708065
2024-06-19,51.38230184517928,39.12340221698425
2024-06-20,52.86610326846843,40.41646049691412
2024-06-21,53.29241099558621,40.71794841177774
