index,price
1987-06-16,0.1265001000000001
1987-06-17,0.1313001000000001
1987-06-18,0.1298001
1987-06-19,0.1293001000000001
1987-06-22,0.1285001000000001
1987-06-23,0.1242001
1987-06-24,0.1258001
1987-06-25,0.1281001
1987-06-26,0.1283001
1987-06-29,0.1298001
1987-06-30,0.1303001
1987-07-01,0.1308001
1987-07-02,0.1293001000000001
1987-07-03,
1987-07-06,0.1210001
1987-07-07,0.1072001
1987-07-08,0.1149001
1987-07-09,0.1173001
1987-07-10,0.1167001
1987-07-13,0.1179001
1987-07-14,0.1181001
1987-07-15,0.1229001
1987-07-16,0.1238001
1987-07-17,0.1204001
1987-07-20,0.1171001
1987-07-21,0.1198001
1987-07-22,0.1215001000000001
1987-07-23,0.1217001
1987-07-24,0.1199001
1987-07-27,0.1159001
1987-07-28,0.1138001
1987-07-29,0.1107001
1987-07-30,0.1122001
1987-07-31,0.1096001
1987-08-03,0.1118001
1987-08-04,0.1119001
1987-08-05,0.1145001000000001
1987-08-06,0.1118001
1987-08-07,0.1118001
1987-08-10,0.1117001
1987-08-11,0.1163001000000001
1987-08-12,0.1173001
1987-08-13,0.1195001000000001
1987-08-14,0.1229001
1987-08-17,0.1259001
1987-08-18,0.1311001
1987-08-19,0.1247001
1987-08-20,0.1238001
1987-08-21,0.1281001
1987-08-24,0.1312001
1987-08-25,0.1293001000000001
1987-08-26,0.1278001
1987-08-27,0.1266001000000001
1987-08-28,0.1278001
1987-08-31,0.1300001
1987-09-01,0.1333001
1987-09-02,0.1373001
1987-09-03,0.1387001000000001
1987-09-04,0.1402001
1987-09-07,
1987-09-08,0.1452001
1987-09-09,0.1440001
1987-09-10,0.1437001000000001
1987-09-11,0.1461001
1987-09-14,0.1446001
1987-09-15,0.1467001
1987-09-16,0.1498001
1987-09-17,0.1515001
1987-09-18,0.1534001
1987-09-21,0.1550000999999999
1987-09-22,0.1508001
1987-09-23,0.1496001
1987-09-24,0.1467001
1987-09-25,0.1421001
