index,price
1982-09-14,682.6499999999994
1982-09-15,683.1499999999994
1982-09-16,682.4999999999993
1982-09-17,681.5999999999993
1982-09-20,682.3999999999994
1982-09-21,685.2999999999994
1982-09-22,681.1499999999994
1982-09-23,682.7499999999993
1982-09-24,681.8999999999994
1982-09-27,682.9999999999993
1982-09-28,681.2999999999994
1982-09-29,678.8999999999994
1982-09-30,678.2999999999994
1982-10-01,679.0999999999993
1982-10-04,679.6499999999994
1982-10-05,679.4999999999993
1982-10-06,684.4999999999993
1982-10-07,689.0999999999993
1982-10-08,691.0499999999994
1982-10-11,694.7499999999993
1982-10-12,692.9999999999993
1982-10-13,696.5999999999993
1982-10-14,693.8999999999994
1982-10-15,694.2499999999993
1982-10-18,697.6499999999994
1982-10-19,696.3499999999993
1982-10-20,700.3999999999994
1982-10-21,700.0499999999994
1982-10-22,697.3999999999994
1982-10-25,692.3999999999994
1982-10-26,695.1999999999994
1982-10-27,694.1499999999994
1982-10-28,692.8499999999993
1982-10-29,693.4999999999993
1982-11-01,696.3999999999994
1982-11-02,697.7999999999994
1982-11-03,702.7999999999994
1982-11-04,702.9999999999993
1982-11-05,702.1499999999994
1982-11-08,701.1499999999994
1982-11-09,704.7499999999993
1982-11-10,700.6499999999994
1982-11-11,703.0999999999993
1982-11-12,699.7499999999993
1982-11-15,695.8499999999993
1982-11-16,695.6499999999994
1982-11-17,697.6499999999994
1982-11-18,698.1499999999994
1982-11-19,695.1499999999994
1982-11-22,691.6499999999994
1982-11-23,691.4999999999993
1982-11-24,692.7499999999993
1982-11-25,
1982-11-26,693.8999999999994
1982-11-29,692.5999999999993
1982-11-30,697.5999999999993
1982-12-01,697.0499999999994
1982-12-02,697.7999999999994
1982-12-03,698.0999999999993
1982-12-06,702.2999999999994
1982-12-07,702.6999999999994
1982-12-08,700.2999999999994
1982-12-09,698.6499999999994
1982-12-10,698.1999999999994
1982-12-13,699.4499999999994
1982-12-14,694.7499999999993
1982-12-15,694.2499999999993
1982-12-16,694.1499999999994
1982-12-17,696.7499999999993
1982-12-20,695.0499999999994
1982-12-21,699.0499999999994
1982-12-22,698.1499999999994
1982-12-23,698.9499999999994
1982-12-24,
1982-12-27,702.8999999999994
1982-12-28,700.4499999999994
1982-12-29,701.1999999999994
1982-12-30,699.3499999999993
1982-12-31,699.9999999999993
1983-01-03,697.1999999999994
1983-01-04,700.6999999999994
1983-01-05,701.0999999999993
1983-01-06,705.1499999999994
1983-01-07,705.1999999999994
1983-01-10,706.8999999999994
1983-01-11,706.0999999999993
1983-01-12,706.1499999999994
1983-01-13,706.2999999999994
1983-01-14,706.2999999999994
1983-01-17,706.6499999999994
1983-01-18,706.5499999999994
1983-01-19,704.4499999999994
1983-01-20,705.8499999999993
1983-01-21,702.0999999999993
1983-01-24,699.8499999999993
1983-01-25,700.3999999999994
1983-01-26,700.3499999999993
1983-01-27,704.4999999999993
1983-01-28,703.5499999999994
1983-01-31,705.3999999999994
1983-02-01,701.4499999999994
1983-02-02,702.2499999999993
1983-02-03,703.0999999999993
1983-02-04,706.5999999999993
1983-02-07,706.7499999999993
1983-02-08,704.3499999999993
