DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2006-12-04 14:15:00,118.37,20070600,118.82,20070300,118.37,20070600
2006-12-04 14:30:00,118.39,20070600,118.84,20070300,118.39,20070600
2006-12-04 14:45:00,118.39,20070600,118.84,20070300,118.39,20070600
2006-12-04 15:00:00,118.38,20070600,118.85,20070300,118.38,20070600
2006-12-04 15:15:00,,20070600,118.84,20070300,,20070600
2006-12-04 15:30:00,118.42,20070600,118.87,20070300,118.42,20070600
2006-12-04 15:45:00,118.44,20070600,118.88,20070300,118.44,20070600
2006-12-04 16:00:00,118.45,20070600,118.9,20070300,118.45,20070600
2006-12-04 16:15:00,118.45,20070600,118.9,20070300,118.45,20070600
2006-12-04 16:30:00,118.43,20070600,118.87,20070300,118.43,20070600
2006-12-04 16:45:00,118.41,20070600,118.86,20070300,118.41,20070600
2006-12-04 17:00:00,118.43,20070600,118.86,20070300,118.43,20070600
2006-12-04 17:15:00,,20070600,118.87,20070300,,20070600
2006-12-04 17:30:00,,20070600,118.87,20070300,,20070600
2006-12-04 17:45:00,118.43,20070600,118.9,20070300,118.43,20070600
2006-12-04 18:00:00,,20070600,118.9,20070300,,20070600
2006-12-04 18:15:00,,20070600,118.9,20070300,,20070600
2006-12-04 18:30:00,,20070600,118.92,20070300,,20070600
2006-12-04 18:45:00,,20070600,118.89,20070300,,20070600
2006-12-04 19:00:00,,20070600,118.88,20070300,,20070600
2006-12-04 19:15:00,,20070600,118.89,20070300,,20070600
2006-12-04 19:30:00,,20070600,118.88,20070300,,20070600
2006-12-04 20:00:00,,20070600,118.92,20070300,,20070600
2006-12-04 20:15:00,,20070600,118.91,20070300,,20070600
2006-12-04 20:30:00,,20070600,118.9,20070300,,20070600
2006-12-04 20:45:00,,20070600,118.89,20070300,,20070600
2006-12-05 07:00:00,118.49,20070600,118.92,20070300,118.49,20070600
2006-12-05 07:15:00,118.49,20070600,118.93,20070300,118.49,20070600
2006-12-05 07:30:00,,20070600,118.95,20070300,,20070600
2006-12-05 07:45:00,,20070600,118.96,20070300,,20070600
2006-12-05 08:00:00,118.48,20070600,118.92,20070300,118.48,20070600
2006-12-05 08:15:00,118.45,20070600,118.84,20070300,118.45,20070600
2006-12-05 08:30:00,,20070600,118.82,20070300,,20070600
2006-12-05 08:45:00,,20070600,118.81,20070300,,20070600
2006-12-05 09:00:00,,20070600,118.8,20070300,,20070600
2006-12-05 09:15:00,,20070600,118.77,20070300,,20070600
2006-12-05 09:30:00,,20070600,118.78,20070300,,20070600
2006-12-05 09:45:00,,20070600,118.79,20070300,,20070600
2006-12-05 10:00:00,,20070600,118.84,20070300,,20070600
2006-12-05 10:15:00,118.38,20070600,118.84,20070300,118.38,20070600
2006-12-05 10:30:00,,20070600,118.84,20070300,,20070600
2006-12-05 10:45:00,118.35,20070600,118.82,20070300,118.35,20070600
2006-12-05 11:00:00,,20070600,118.85,20070300,,20070600
2006-12-05 11:15:00,118.39,20070600,118.86,20070300,118.39,20070600
2006-12-05 11:30:00,,20070600,118.88,20070300,,20070600
2006-12-05 11:45:00,,20070600,118.87,20070300,,20070600
2006-12-05 12:00:00,,20070600,118.86,20070300,,20070600
2006-12-05 12:15:00,,20070600,118.87,20070300,,20070600
2006-12-05 12:30:00,,20070600,118.87,20070300,,20070600
2006-12-05 12:45:00,118.44,20070600,118.93,20070300,118.44,20070600
2006-12-05 13:00:00,118.44,20070600,118.9,20070300,118.44,20070600
2006-12-05 13:15:00,118.52,20070600,119.0,20070300,118.52,20070600
2006-12-05 13:30:00,118.46,20070600,118.9,20070300,118.46,20070600
2006-12-05 13:45:00,118.47,20070600,118.93,20070300,118.47,20070600
2006-12-05 14:00:00,118.42,20070600,118.87,20070300,118.42,20070600
2006-12-05 14:15:00,118.39,20070600,118.86,20070300,118.39,20070600
2006-12-05 14:30:00,118.43,20070600,118.9,20070300,118.43,20070600
2006-12-05 14:45:00,118.34,20070600,118.81,20070300,118.34,20070600
2006-12-05 15:00:00,118.36,20070600,118.82,20070300,118.36,20070600
2006-12-05 15:15:00,118.32,20070600,118.74,20070300,118.32,20070600
2006-12-05 15:30:00,118.19,20070600,118.65,20070300,118.19,20070600
2006-12-05 15:45:00,118.26,20070600,118.72,20070300,118.26,20070600
2006-12-05 16:00:00,118.26,20070600,118.75,20070300,118.26,20070600
2006-12-05 16:15:00,118.29,20070600,118.76,20070300,118.29,20070600
2006-12-05 16:30:00,118.3,20070600,118.78,20070300,118.3,20070600
2006-12-05 16:45:00,118.31,20070600,118.78,20070300,118.31,20070600
2006-12-05 17:00:00,118.37,20070600,118.84,20070300,118.37,20070600
2006-12-05 17:15:00,118.37,20070600,118.85,20070300,118.37,20070600
2006-12-05 17:30:00,118.37,20070600,118.85,20070300,118.37,20070600
2006-12-05 17:45:00,,20070600,118.85,20070300,,20070600
2006-12-05 18:00:00,118.37,20070600,118.84,20070300,118.37,20070600
2006-12-05 18:15:00,,20070600,118.84,20070300,,20070600
2006-12-05 18:30:00,,20070600,118.84,20070300,,20070600
2006-12-05 18:45:00,,20070600,118.84,20070300,,20070600
2006-12-05 19:00:00,,20070600,118.83,20070300,,20070600
2006-12-05 19:15:00,,20070600,118.84,20070300,,20070600
2006-12-05 19:30:00,,20070600,118.83,20070300,,20070600
2006-12-05 19:45:00,,20070600,118.85,20070300,,20070600
2006-12-05 20:00:00,,20070600,118.82,20070300,,20070600
2006-12-05 20:15:00,,20070600,118.83,20070300,,20070600
2006-12-05 20:30:00,,20070600,118.81,20070300,,20070600
2006-12-05 20:45:00,,20070600,118.83,20070300,,20070600
2006-12-05 21:00:00,,20070600,118.83,20070300,,20070600
2006-12-06 07:00:00,118.36,20070600,118.84,20070300,118.36,20070600
2006-12-06 07:15:00,118.41,20070600,118.88,20070300,118.41,20070600
2006-12-06 07:30:00,118.41,20070600,118.88,20070300,118.41,20070600
2006-12-06 07:45:00,118.41,20070600,118.86,20070300,118.41,20070600
2006-12-06 08:00:00,118.36,20070600,118.81,20070300,118.36,20070600
2006-12-06 08:15:00,118.37,20070600,118.82,20070300,118.37,20070600
2006-12-06 08:30:00,118.34,20070600,118.76,20070300,118.34,20070600
2006-12-06 08:45:00,118.34,20070600,118.79,20070300,118.34,20070600
2006-12-06 09:00:00,118.34,20070600,118.79,20070300,118.34,20070600
2006-12-06 09:15:00,118.33,20070600,118.79,20070300,118.33,20070600
2006-12-06 09:30:00,118.3,20070600,118.75,20070300,118.3,20070600
2006-12-06 09:45:00,118.28,20070600,118.73,20070300,118.28,20070600
2006-12-06 10:00:00,118.27,20070600,118.75,20070300,118.27,20070600
2006-12-06 10:15:00,,20070600,118.75,20070300,,20070600
2006-12-06 10:30:00,,20070600,118.74,20070300,,20070600
2006-12-06 10:45:00,,20070600,118.75,20070300,,20070600
2006-12-06 11:00:00,118.28,20070600,118.75,20070300,118.28,20070600
2006-12-06 11:15:00,118.28,20070600,118.78,20070300,118.28,20070600
2006-12-06 11:30:00,,20070600,118.79,20070300,,20070600
2006-12-06 11:45:00,,20070600,118.78,20070300,,20070600
2006-12-06 12:00:00,,20070600,118.76,20070300,,20070600
2006-12-06 12:15:00,,20070600,118.78,20070300,,20070600
2006-12-06 12:30:00,,20070600,118.76,20070300,,20070600
2006-12-06 12:45:00,,20070600,118.75,20070300,,20070600
2006-12-06 13:00:00,118.21,20070600,118.68,20070300,118.21,20070600
2006-12-06 13:15:00,118.21,20070600,118.7,20070300,118.21,20070600
2006-12-06 13:30:00,,20070600,118.69,20070300,,20070600
2006-12-06 13:45:00,118.16,20070600,118.64,20070300,118.16,20070600
2006-12-06 14:00:00,118.18,20070600,118.68,20070300,118.18,20070600
2006-12-06 14:15:00,118.1,20070600,118.61,20070300,118.1,20070600
2006-12-06 14:30:00,118.13,20070600,118.66,20070300,118.13,20070600
2006-12-06 14:45:00,,20070600,118.69,20070300,,20070600
2006-12-06 15:00:00,,20070600,118.71,20070300,,20070600
2006-12-06 15:15:00,,20070600,118.69,20070300,,20070600
2006-12-06 15:30:00,,20070600,118.68,20070300,,20070600
2006-12-06 15:45:00,,20070600,118.72,20070300,,20070600
2006-12-06 16:00:00,,20070600,118.71,20070300,,20070600
2006-12-06 16:15:00,,20070600,118.69,20070300,,20070600
2006-12-06 16:30:00,,20070600,118.68,20070300,,20070600
2006-12-06 16:45:00,,20070600,118.7,20070300,,20070600
2006-12-06 17:00:00,,20070600,118.7,20070300,,20070600
2006-12-06 17:15:00,,20070600,118.69,20070300,,20070600
2006-12-06 17:30:00,,20070600,118.69,20070300,,20070600
2006-12-06 17:45:00,,20070600,118.69,20070300,,20070600
2006-12-06 18:00:00,,20070600,118.69,20070300,,20070600
2006-12-06 18:15:00,,20070600,118.67,20070300,,20070600
2006-12-06 18:30:00,,20070600,118.66,20070300,,20070600
2006-12-06 18:45:00,,20070600,118.65,20070300,,20070600
2006-12-06 19:00:00,,20070600,118.63,20070300,,20070600
2006-12-06 19:15:00,,20070600,118.66,20070300,,20070600
2006-12-06 19:30:00,,20070600,118.65,20070300,,20070600
2006-12-06 19:45:00,,20070600,118.65,20070300,,20070600
2006-12-06 20:00:00,,20070600,118.65,20070300,,20070600
2006-12-06 20:15:00,,20070600,118.65,20070300,,20070600
2006-12-06 20:30:00,,20070600,118.65,20070300,,20070600
