DATE_TIME,current_contract,next_contract,carry_contract
2023-03-13 00:00:00,20230300,20230600,20230600
2023-06-13 00:00:00,20230600,20230900,20230900
2023-09-13 00:00:00,20230900,20231200,20231200
2023-12-13 00:00:00,20231200,20240300,20240300
2024-03-13 00:00:00,20240300,20240600,20240600
2024-06-13 00:00:00,20240600,20240900,20240900
2024-09-13 00:00:00,20240900,20241200,20241200
2024-12-13 00:00:00,20241200,20250300,20250300
2025-01-07 06:00:00,20250300,20250600,20250600
