DATE_TIME,current_contract,next_contract,carry_contract
2020-02-14 06:00:00,20200300,20200500,20200500
2020-04-15 05:00:00,20200500,20200700,20200700
2020-06-15 05:00:00,20200700,20200900,20200900
2020-08-17 05:00:00,20200900,20201200,20201200
2020-11-16 06:00:00,20201200,20210300,20210300
2021-02-12 06:00:00,20210300,20210500,20210500
2021-04-15 05:00:00,20210500,20210700,20210700
2021-06-15 05:00:00,20210700,20210900,20210900
2021-08-16 05:00:00,20210900,20211200,20211200
2021-11-15 06:00:00,20211200,20220300,20220300
2022-02-14 06:00:00,20220300,20220500,20220500
2022-04-14 05:00:00,20220500,20220700,20220700
2022-06-15 05:00:00,20220700,20220900,20220900
2022-08-16 05:00:00,20220900,20221200,20221200
2022-11-15 06:00:00,20221200,20230300,20230300
2023-02-13 01:00:00,20230300,20230500,20230500
2023-04-14 00:00:00,20230500,20230700,20230700
2023-06-15 00:00:00,20230700,20230900,20230900
2023-08-16 00:00:00,20230900,20231200,20231200
2023-11-15 01:00:00,20231200,20240300,20240300
2024-02-14 01:00:00,20240300,20240500,20240500
2024-04-15 00:00:00,20240500,20240700,20240700
2024-06-14 00:00:00,20240700,20240900,20240900
2024-08-16 00:00:00,20240900,20241200,20241200
2024-11-15 01:00:00,20241200,20250300,20250300
2024-12-16 06:00:00,20250300,20250500,20250500
