DATE_TIME,current_contract,next_contract,carry_contract
1999-02-12 06:00:00,19990400,19990600,19990200
1999-04-15 05:00:00,19990600,19990700,19990400
1999-05-14 05:00:00,19990700,19990800,19990600
1999-06-15 05:00:00,19990800,19991000,19990700
1999-08-13 05:00:00,19991000,19991200,19990800
1999-10-14 05:00:00,19991200,20000200,19991000
1999-12-16 06:00:00,20000200,20000400,19991200
2000-02-14 06:00:00,20000400,20000600,20000200
2000-04-14 05:00:00,20000600,20000700,20000400
2000-05-15 05:00:00,20000700,20000800,20000600
2000-06-15 05:00:00,20000800,20001000,20000700
2000-08-14 05:00:00,20001000,20001200,20000800
2000-10-13 05:00:00,20001200,20010200,20001000
2000-12-14 06:00:00,20010200,20010400,20001200
2001-02-13 06:00:00,20010400,20010600,20010200
2001-04-16 05:00:00,20010600,20010700,20010400
2001-05-15 05:00:00,20010700,20010800,20010600
2001-06-15 05:00:00,20010800,20011000,20010700
2001-08-14 05:00:00,20011000,20011200,20010800
2001-10-12 05:00:00,20011200,20020200,20011000
2001-12-14 06:00:00,20020200,20020400,20011200
2002-02-13 06:00:00,20020400,20020600,20020200
2002-04-15 05:00:00,20020600,20020700,20020500
2002-05-15 05:00:00,20020700,20020800,20020600
2002-06-14 05:00:00,20020800,20021000,20020700
2002-08-14 05:00:00,20021000,20021200,20020800
2002-10-14 05:00:00,20021200,20030200,20021000
2002-12-13 06:00:00,20030200,20030400,20021200
2003-02-13 06:00:00,20030400,20030600,20030200
2003-04-15 05:00:00,20030600,20030700,20030500
2003-05-15 05:00:00,20030700,20030800,20030600
2003-06-16 05:00:00,20030800,20031000,20030700
2003-08-14 05:00:00,20031000,20031200,20030800
2003-10-14 05:00:00,20031200,20040200,20031000
2003-12-12 06:00:00,20040200,20040400,20031200
2004-02-13 06:00:00,20040400,20040600,20040200
2004-04-15 05:00:00,20040600,20040700,20040500
2004-05-14 05:00:00,20040700,20040800,20040600
2004-06-15 05:00:00,20040800,20041000,20040700
2004-08-13 05:00:00,20041000,20041200,20040800
2004-10-14 05:00:00,20041200,20050200,20041000
2004-12-16 06:00:00,20050200,20050400,20041200
2005-02-14 06:00:00,20050400,20050600,20050200
2005-04-15 05:00:00,20050600,20050700,20050500
2005-05-16 05:00:00,20050700,20050800,20050600
2005-06-15 05:00:00,20050800,20051000,20050700
2005-08-12 05:00:00,20051000,20051200,20050800
2005-10-14 05:00:00,20051200,20060200,20051000
2005-12-14 06:00:00,20060200,20060400,20051200
2006-02-13 06:00:00,20060400,20060600,20060200
2006-04-13 05:00:00,20060600,20060700,20060500
2006-05-15 05:00:00,20060700,20060800,20060600
2006-06-15 05:00:00,20060800,20061000,20060700
2006-08-14 05:00:00,20061000,20061200,20060800
2006-10-13 05:00:00,20061200,20070200,20061000
2006-12-14 06:00:00,20070200,20070400,20061200
2007-02-13 06:00:00,20070400,20070600,20070200
2007-04-16 05:00:00,20070600,20070700,20070500
2007-05-15 05:00:00,20070700,20070800,20070600
2007-06-15 05:00:00,20070800,20071000,20070700
2007-08-14 05:00:00,20071000,20071200,20070800
2007-10-12 05:00:00,20071200,20080200,20071000
2007-12-14 06:00:00,20080200,20080400,20071200
2008-02-14 06:00:00,20080400,20080600,20080200
2008-04-15 05:00:00,20080600,20080700,20080500
2008-05-15 05:00:00,20080700,20080800,20080600
2008-06-16 05:00:00,20080800,20081000,20080700
2008-08-14 05:00:00,20081000,20081200,20080800
2008-10-14 05:00:00,20081200,20090200,20081000
2008-12-12 06:00:00,20090200,20090400,20081200
2009-02-13 06:00:00,20090400,20090600,20090200
2009-04-15 05:00:00,20090600,20090700,20090500
2009-05-15 05:00:00,20090700,20090800,20090600
2009-06-15 05:00:00,20090800,20091000,20090700
2009-08-14 05:00:00,20091000,20091200,20090800
2009-10-14 00:00:00,20091200,20100200,20091000
