,Gross,Costs,Net
1994-12-31,0.0,0.0,0.0
1995-12-31,37.54449606053243,-1.1808051195662783,36.36369094096615
1996-12-31,7.112007317143979,-1.3123768702622056,5.799630446881774
1997-12-31,23.001130529031826,-1.3360892330183267,21.665041296013506
1998-12-31,-38.076172764994766,-1.1771586295619134,-39.25333139455668
1999-12-31,-41.98682472569502,-1.3306803668856337,-43.31750509258066
2000-12-31,5.721627990624825,-1.1712527203568708,4.550375270267953
2001-12-31,-47.268150619956664,-1.3047328468793644,-48.572883466836025
2002-12-31,11.618688367592219,-1.1151129872092131,10.503575380383007
2003-12-31,14.743623223988152,-1.13138202505335,13.612241198934804
2004-12-31,29.14222201531447,-1.4701737931485754,27.672048222165895
2005-12-31,-13.228842899952209,-1.5215573088551277,-14.750400208807338
2006-12-31,-9.209735451846642,-1.2804151589417982,-10.490150610788444
2007-12-31,-10.458703638121435,-1.475763129560936,-11.934466767682371
2008-12-31,46.884421714153014,-1.678235374208753,45.20618633994426
2009-12-31,-28.291929194698593,-1.8103953408852593,-30.102324535583854
2010-12-31,28.649626300632235,-1.3825917893653812,27.267034511266854
2011-12-31,3.322464211891364,-1.5553310106761704,1.7671332012151924
2012-12-31,-20.952719367911453,-1.387586957649682,-22.340306325561137
2013-12-31,4.55964192770751,-1.428594783863084,3.1310471438444263
2014-12-31,15.933212717214008,-1.5166379736635427,14.416574743550465
2015-12-31,33.28248178796354,-1.4924838473032327,31.789997940660307
2016-12-31,-16.88925347483821,-1.3345398077286854,-18.223793282566895
2017-12-31,-8.011413059483804,-1.0794049908410965,-9.0908180503249
2018-12-31,8.301901412944343,-1.1262940487660889,7.175607364178254
2019-12-31,-20.718409022228535,-1.0796620895590778,-21.798071111787614
2020-12-31,28.326508773940716,-1.561020985585122,26.765487788355596
2021-12-31,18.539261920066046,-1.6077963510220747,16.931465569043972
2022-12-31,19.557615918561172,-1.4809618976846435,18.07665402087653
2023-12-31,-9.142521492422286,-1.6002920887555823,-10.742813581177867
2024-12-31,-18.5389566791232,-1.2762775882307011,-19.8152342673539
2025-12-31,-9.82212860546625,-0.28855812980231454,-10.110686735268565
