,lower_position,upper_position,reference_price,reference_contract
2025-01-20 13:11:32.564120,1.1275007826168166,2.0409089295420473,3566.0,20250200
2025-01-23 11:49:39.371392,1.0873525620870659,2.0186686217932968,3294.5,20250200
2025-01-23 12:12:51.618344,1.0873525620870659,2.0186686217932968,3294.5,20250200
2025-01-23 12:23:00.200945,1.0873525620870659,2.0186686217932968,3294.5,20250200
