,Actual,Accumulated,Broker,Max
2025-01-20 13:10:59.267837,5042.19,0.0,5042.19,5042.19
2025-01-23 11:49:20.224865,5042.19,0.0,5042.19,5042.19
2025-01-23 12:12:39.000576,5042.19,0.0,5042.19,5042.19
2025-01-23 12:22:29.723863,5042.19,0.0,5042.19,5042.19
